study_hours,attendance_percentage,sleep_hours,family_income,internet_speed_mbps,number_of_subjects,extracurricular_activities,parental_support,motivation_level,performance
8,94,8.0,56000,23,8,Yes,High,High,Excellent
1,48,4.0,8000,1,5,No,Low,Low,Poor
3,71,6.0,24000,7,6,No,Medium,Medium,Average
5,81,7.0,34000,11,6,Yes,Medium,Medium,Good
7,93,8.0,51000,22,8,Yes,High,High,Excellent
2,66,5.5,18500,5,5,No,Low,Medium,Average
4,76,6.5,28500,10,6,Yes,Medium,Medium,Average
6,86,7.5,40000,15,7,Yes,Medium,High,Good
8,95,8.0,57000,24,8,Yes,High,High,Excellent
3,69,6.0,21000,6,6,No,Low,Medium,Average
5,82,7.0,35500,12,7,Yes,Medium,High,Good
7,89,7.5,45500,18,8,Yes,High,High,Good
9,97,8.0,64000,29,8,Yes,High,High,Excellent
2,59,5.0,12500,2,5,No,Low,Low,Poor
4,79,6.5,31000,11,6,No,Medium,Medium,Average
6,87,7.5,41500,16,7,Yes,Medium,High,Good
8,93,8.0,54000,22,8,Yes,High,High,Excellent
1,54,4.5,11000,2,5,No,Low,Low,Poor
3,73,6.0,25500,8,6,No,Medium,Medium,Average
5,83,7.0,37500,13,7,Yes,Medium,High,Good
7,91,8.0,48500,20,7,Yes,High,High,Excellent
2,62,5.5,15500,4,5,No,Low,Medium,Average
4,78,6.5,29500,10,6,Yes,Medium,Medium,Average
6,88,7.5,42500,17,7,Yes,High,High,Good
8,96,8.0,59500,26,8,Yes,High,High,Excellent
3,67,5.5,19500,5,6,No,Low,Medium,Average
5,84,7.0,38500,14,7,Yes,Medium,High,Good
7,90,7.5,47000,19,8,Yes,High,High,Excellent
9,98,8.0,66500,30,8,Yes,High,High,Excellent
2,60,5.0,13000,3,5,No,Low,Low,Poor
4,77,6.5,30500,11,6,Yes,Medium,Medium,Average
6,86,7.5,40500,15,7,Yes,Medium,High,Good
8,94,8.0,55500,23,8,Yes,High,High,Excellent
1,51,4.0,9500,1,5,No,Low,Low,Poor
3,70,6.0,22500,7,6,No,Low,Medium,Average
5,82,7.0,36000,12,7,Yes,Medium,High,Good
7,92,8.0,50500,21,8,Yes,High,High,Excellent
2,64,5.5,16500,4,5,No,Low,Medium,Average
4,80,6.5,32500,12,6,Yes,Medium,Medium,Average
6,89,7.5,43500,18,7,Yes,High,High,Good
8,95,8.0,58000,25,8,Yes,High,High,Excellent
3,68,6.0,20000,5,6,No,Low,Medium,Average
5,83,7.0,37000,13,7,Yes,Medium,High,Good
7,91,7.5,48000,20,8,Yes,High,High,Excellent
9,97,8.0,63500,28,8,Yes,High,High,Excellent
2,57,5.0,12000,2,5,No,Low,Low,Poor
4,75,6.5,27500,9,6,No,Medium,Medium,Average
6,87,7.5,41000,16,7,Yes,Medium,High,Good
8,93,8.0,53000,21,8,Yes,High,High,Excellent
1,49,4.0,8500,1,5,No,Low,Low,Poor
3,72,6.0,23500,8,6,No,Medium,Medium,Average
5,81,7.0,34500,11,7,Yes,Medium,High,Good
7,90,7.5,46500,19,7,Yes,High,High,Excellent
2,63,5.5,15000,3,5,No,Low,Medium,Average
4,79,6.5,30000,11,6,Yes,Medium,Medium,Average
6,88,7.5,42000,17,7,Yes,High,High,Good
8,94,8.0,56000,24,8,Yes,High,High,Excellent
3,66,5.5,18000,4,6,No,Low,Medium,Average
5,85,7.0,38000,14,7,Yes,Medium,High,Good
7,92,8.0,49000,21,8,Yes,High,High,Excellent
9,96,8.0,62000,29,8,Yes,High,High,Excellent
2,58,5.0,11500,2,5,No,Low,Low,Poor
4,76,6.5,28000,10,6,Yes,Medium,Medium,Average
6,86,7.5,40000,15,7,Yes,Medium,High,Good
8,92,8.0,52000,20,8,Yes,High,High,Excellent
1,53,4.5,10500,2,5,No,Low,Low,Poor
3,74,6.0,24500,8,6,No,Medium,Medium,Average
5,84,7.0,38500,14,7,Yes,Medium,High,Good
7,89,7.5,47000,18,7,Yes,High,High,Excellent
2,61,5.5,14000,3,5,No,Low,Medium,Average
4,81,6.5,33000,12,6,Yes,Medium,Medium,Average
6,90,7.5,44000,18,7,Yes,High,High,Good
8,97,8.0,60000,26,8,Yes,High,High,Excellent
3,65,5.5,17000,4,6,No,Low,Medium,Average
5,82,7.0,36000,13,7,Yes,Medium,High,Good
7,93,8.0,50000,22,8,Yes,High,High,Excellent
9,95,8.0,61000,27,8,Yes,High,High,Excellent
2,59,5.0,12000,2,5,No,Low,Low,Poor
4,78,6.5,29000,10,6,Yes,Medium,Medium,Average
6,87,7.5,41000,16,7,Yes,Medium,High,Good
8,91,8.0,51000,19,8,Yes,High,High,Excellent
1,52,4.0,9000,1,5,No,Low,Low,Poor
3,71,6.0,23000,7,6,No,Low,Medium,Average
5,83,7.0,35000,12,7,Yes,Medium,High,Good
7,94,8.0,49000,20,8,Yes,High,High,Excellent
2,62,5.5,15000,3,5,No,Low,Medium,Average
4,77,6.5,28500,10,6,No,Medium,Medium,Average
6,89,7.5,42500,17,7,Yes,High,High,Good
8,96,8.0,57000,24,8,Yes,High,High,Excellent
3,67,6.0,19000,5,6,No,Low,Medium,Average
5,84,7.0,37500,13,7,Yes,Medium,High,Good
7,91,7.5,47500,19,8,Yes,High,High,Excellent
9,98,8.0,64000,28,8,Yes,High,High,Excellent
